schema,KPI_Label,Formula,KPI_Name,Properties_Key,report_name,Schema_Original,Description
apn,PDP Contexts Facilitated By APN - Used Static IP Addresses,(%addr-stat%),kpi_PDP_Contexts_Facilitated_By_APN_Used_Static_IP_Addresses,wrnApnAggPDPContextIPAddr,StarOS APN Aggregate PDP Contexts IP Address Statistics,APN,PDP Contexts Facilitated By APN - Used Static IP Addresses
apn,PDP Contexts Facilitated By APN Allocated IP Addresses - Pools Configured Locally,(%addr-lpool%),kpi_PDP_Contexts_Facilitated_By_APN_Allocated_IP_Addresses_Pools_Configured_Locally,wrnApnAggPDPContextIPAddr,StarOS APN Aggregate PDP Contexts IP Address Statistics,APN,PDP Contexts Facilitated By APN Allocated IP Addresses - Pools Configured Locally
apn,PDP Contexts Facilitated By APN Allocated IP Addresses - RADIUS server,(%addr-rad%),kpi_PDP_Contexts_Facilitated_By_APN_Allocated_IP_Addresses_RADIUS_server,wrnApnAggPDPContextIPAddr,StarOS APN Aggregate PDP Contexts IP Address Statistics,APN,PDP Contexts Facilitated By APN Allocated IP Addresses - RADIUS server
apn,PDP Contexts Facilitated By APN Allocated IP Addresses - DHCP,(%addr-dhcp%),kpi_PDP_Contexts_Facilitated_By_APN_Allocated_IP_Addresses_DHCP,wrnApnAggPDPContextIPAddr,StarOS APN Aggregate PDP Contexts IP Address Statistics,APN,PDP Contexts Facilitated By APN Allocated IP Addresses - DHCP
apn,PDP Contexts Facilitated By APN Allocated IP Addresses - DHCP Relay,(%addr-dhcp-rly%),kpi_PDP_Contexts_Facilitated_By_APN_Allocated_IP_Addresses_DHCP_Relay,wrnApnAggPDPContextIPAddr,StarOS APN Aggregate PDP Contexts IP Address Statistics,APN,PDP Contexts Facilitated By APN Allocated IP Addresses - DHCP Relay
apn,PDP Contexts Facilitated By APN Not Allocated IP Addresses,(%addr-no-alloc%),kpi_PDP_Contexts_Facilitated_By_APN_Not_Allocated_IP_Addresses,wrnApnAggPDPContextIPAddr,StarOS APN Aggregate PDP Contexts IP Address Statistics,APN,PDP Contexts Facilitated By APN Not Allocated IP Addresses
apn,APN CPC Request,(%att-pdp-ctxt%),kpi_APN_CPC_Request,wrnApnAggPDPContextReq,StarOS APN Aggregate PDP Contexts Request Statistics,APN,APN CPC Request
apn,APN DPC Request Transmitted,(%att-deact-pdp-ggsn%),kpi_APN_DPC_Request_Transmitted,wrnApnAggPDPContextReq,StarOS APN Aggregate PDP Contexts Request Statistics,APN,APN DPC Request Transmitted
apn,APN DPC Request Transmitted Accepted,(%succ-deact-pdp-ggsn%),kpi_APN_DPC_Request_Transmitted_Accepted,wrnApnAggPDPContextReq,StarOS APN Aggregate PDP Contexts Request Statistics,APN,APN DPC Request Transmitted Accepted
apn,APN DPC Request Received,(%att-deact-pdp-ms%),kpi_APN_DPC_Request_Received,wrnApnAggPDPContextReq,StarOS APN Aggregate PDP Contexts Request Statistics,APN,APN DPC Request Received
apn,APN DPC Request Successful From MS,(%succ-deact-pdp-ms%),kpi_APN_DPC_Request_Successful_From_MS,wrnApnAggPDPContextReq,StarOS APN Aggregate PDP Contexts Request Statistics,APN,APN DPC Request Successful From MS
apn,PDP Contexts Currently Facilitated By APN,(%sess-curr%),kpi_PDP_Contexts_Currently_Facilitated_By_APN,wrnApnAggPDPContextStats,StarOS APN Aggregate PDP Contexts Statistics,APN,PDP Contexts Currently Facilitated By APN
