additive_terms,additive_terms_lower,additive_terms_upper,anomalies_type,daily,daily_lower,daily_upper,is_anomaly,is_outlier,is_predicted_anomaly,is_predicted_outlier,lowerBound,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,predicted,predicted_anomalies_type,trend,trend_lower,trend_upper,upperBound,weekly,weekly_lower,weekly_upper,accuracy,anomalies_count,anomalies_percent,timestamp,seasonality,overall_trend,_RDA_Id,job_name,status,reason,count_,anomalies,anomalies_severity,anomaly_score,cluster,all-baseline,value,baseline,__uuid
351404.1500469767,351404.1500469767,351404.1500469767,0,159272.95071881285,159272.95071881285,159272.95071881285,No,No,No,No,16351993.294655664,0.0,0.0,0.0,17601823.96,0,17250419.80774583,17250419.80774583,17250419.80774583,18770147.809998844,192131.19932816384,192131.19932816384,192131.19932816384,67.98,56,15.51,2022-04-05T08:00:00,"Daily, Weekly",Decreasing,174158378235500134b24ce450,default,Success,,1,,,,,17419898.5,17419898.5,17419898.5,05451816-cd12-4018-bb79-6b8e8d4aca05
-7113.467575536228,-7113.467575536228,-7113.467575536228,0,-105169.0340858009,-105169.0340858009,-105169.0340858009,No,No,No,No,16030868.650396517,0.0,0.0,0.0,17244789.62,0,17251903.092395894,17251903.092395894,17251903.092395894,18569853.51175753,98055.56651026467,98055.56651026467,98055.56651026467,67.98,56,15.51,2022-04-05T04:00:00,"Daily, Weekly",Decreasing,174158378235500135b24ce450,default,Success,,1,,,,,17326823.5,17326823.5,17326823.5,eab579b1-4ecc-4468-a0ba-b9b5a3b07921
-301675.364811985,-301675.364811985,-301675.364811985,0,-296692.9265042436,-296692.9265042436,-296692.9265042436,No,No,No,No,15690167.8059287,0.0,0.0,0.0,16951711.01,0,17253386.37704596,17253386.37704596,17253386.37704596,18245291.020631004,-4982.43830774146,-4982.43830774146,-4982.43830774146,67.98,56,15.51,2022-04-05T00:00:00,"Daily, Weekly",Decreasing,174158378235500136b24ce450,default,Success,,1,,,,,16888477.5,16888477.5,16888477.5,183393ad-a694-4a28-82ac-7f3944af4e67
48390.30981383692,48390.30981383692,48390.30981383692,0,150498.70585662464,150498.70585662464,150498.70585662464,No,No,No,No,16050326.421074577,0.0,0.0,0.0,17303259.97,0,17254869.661696024,17254869.661696024,17254869.661696024,18558968.59020757,-102108.39604278772,-102108.39604278772,-102108.39604278772,67.98,56,15.51,2022-04-04T20:00:00,"Daily, Weekly",Decreasing,174158378235500137b24ce450,default,Success,,1,,,,,17122384.5,17122384.5,17122384.5,be01521b-ef10-415f-9d8c-e678d43e4e8a
-105074.79179279855,-105074.79179279855,-105074.79179279855,0,75488.11151611879,75488.11151611879,75488.11151611879,No,No,No,No,15947919.28353595,0.0,0.0,0.0,17151278.15,0,17256352.94634609,17256352.94634609,17256352.94634609,18362008.13865188,-180562.90330891733,-180562.90330891733,-180562.90330891733,67.98,56,15.51,2022-04-04T16:00:00,"Daily, Weekly",Decreasing,174158378235500138b24ce450,default,Success,,1,,,,,17883572.0,17883572.0,17883572.0,9f2ac8e0-858d-4a0d-8545-b1dfad513389
-215109.24232647225,-215109.24232647225,-215109.24232647225,0,16602.192495724103,16602.192495724103,16602.192495724103,No,No,No,No,15880881.827852665,0.0,0.0,0.0,17042726.99,0,17257836.230996154,17257836.230996154,17257836.230996154,18275984.288370464,-231711.4348221964,-231711.4348221964,-231711.4348221964,67.98,56,15.51,2022-04-04T12:00:00,"Daily, Weekly",Decreasing,174158378235500139b24ce450,default,Success,,1,,,,,17149671.0,17149671.0,17149671.0,0d042f11-25be-4f0b-88b3-3a996cac8baf
-92913.73763762618,-92913.73763762618,-92913.73763762618,0,159272.95071788915,159272.95071788915,159272.95071788915,No,No,No,No,15886324.76925432,0.0,0.0,0.0,17166405.78,0,17259319.515934844,17259319.515934844,17259319.515934844,18444834.748517863,-252186.68835551536,-252186.68835551536,-252186.68835551536,67.98,56,15.51,2022-04-04T08:00:00,"Daily, Weekly",Decreasing,174158378235500140b24ce450,default,Success,,1,,,,,16961546.0,16961546.0,16961546.0,9802cac8-1083-4d9a-b874-21dcf896ce0d
-349155.6251250515,-349155.6251250515,-349155.6251250515,0,-105169.0340865936,-105169.0340865936,-105169.0340865936,No,No,No,No,15669317.257599875,0.0,0.0,0.0,16911647.18,0,17260802.80087353,17260802.80087353,17260802.80087353,18126541.573337,-243986.591038458,-243986.591038458,-243986.591038458,67.98,56,15.51,2022-04-04T04:00:00,"Daily, Weekly",Decreasing,174158378235500141b24ce450,default,Success,,1,,,,,15846983.5,15846983.5,15846983.5,e571bf9d-177a-483a-800e-13103351fb7f
-510251.318755882,-510251.318755882,-510251.318755882,0,-296692.9265044515,-296692.9265044515,-296692.9265044515,No,No,No,No,15577658.922088372,0.0,0.0,0.0,16752034.77,0,17262286.085812215,17262286.085812215,17262286.085812215,18060196.637105275,-213558.3922514305,-213558.3922514305,-213558.3922514305,67.98,56,15.51,2022-04-04T00:00:00,"Daily, Weekly",Decreasing,174158378235500142b24ce450,default,Success,,1,,,,,16280301.0,16280301.0,16280301.0,4bc4dcc0-9b0f-496a-8397-9ac908c7b926
-19597.37065292808,-19597.37065292808,-19597.37065292808,1,150498.70585692686,150498.70585692686,150498.70585692686,Yes,No,No,No,15949880.312408756,0.0,0.0,0.0,17244172.0,0,17263769.370750904,17263769.370750904,17263769.370750904,18574442.47977928,-170096.07650985496,-170096.07650985496,-170096.07650985496,67.98,56,15.51,2022-04-03T20:00:00,"Daily, Weekly",Decreasing,174158378235500143b24ce450,default,Success,,1,18680081.5,Medium,2730201.19,2.0,18680081.5,18680081.5,,ee4b9fd7-8dbd-4d1e-b8f7-49bc76e03b99
-47937.95685100333,-47937.95685100333,-47937.95685100333,0,75488.1115172504,75488.1115172504,75488.1115172504,No,No,No,No,15929832.225312935,0.0,0.0,0.0,17217314.7,0,17265252.655689586,17265252.655689586,17265252.655689586,18434638.734540183,-123426.06836825368,-123426.06836825368,-123426.06836825368,67.98,56,15.51,2022-04-03T16:00:00,"Daily, Weekly",Decreasing,174158378235500144b24ce450,default,Success,,1,,,,,17528103.5,17528103.5,17528103.5,fd19370c-2d91-497b-a823-c0f6a2c0d987
-65324.12659894704,-65324.12659894704,-65324.12659894704,0,16602.192495089574,16602.192495089574,16602.192495089574,No,No,No,No,16000001.386347722,0.0,0.0,0.0,17201411.81,0,17266735.940628275,17266735.940628275,17266735.940628275,18545163.40691524,-81926.31909403665,-81926.31909403665,-81926.31909403665,67.98,56,15.51,2022-04-03T12:00:00,"Daily, Weekly",Decreasing,174158378235500145b24ce450,default,Success,,1,,,,,18479275.5,18479275.5,18479275.5,cbb9665c-3c30-4a4c-8f26-b063eca54908
108369.46881655706,108369.46881655706,108369.46881655706,0,159272.9507169655,159272.9507169655,159272.9507169655,No,No,No,No,16091827.405001154,0.0,0.0,0.0,17376588.69,0,17268219.22556696,17268219.22556696,17268219.22556696,18629956.0854198,-50903.481900408464,-50903.481900408464,-50903.481900408464,67.98,56,15.51,2022-04-03T08:00:00,"Daily, Weekly",Decreasing,174158378235500146b24ce450,default,Success,,1,,,,,17279486.0,17279486.0,17279486.0,0b374f54-d6e3-4716-b1e6-a6f222928ef7
